x1,x2,x3,x4,x5,x6,x7,x8,x9,y
48,1,28.0,0,1-2 Year,Yes,53099.0,124.0,248,0
66,1,28.0,0,1-2 Year,Yes,42088.0,124.0,158,0
40,1,50.0,1,1-2 Year,No,28747.0,124.0,65,0
39,1,25.0,0,1-2 Year,Yes,2630.0,156.0,190,1
49,1,28.0,1,1-2 Year,No,47198.0,26.0,107,0
68,1,9.0,1,1-2 Year,No,38349.0,26.0,98,0
48,1,50.0,1,1-2 Year,No,37733.0,124.0,214,0
25,1,2.0,1,< 1 Year,No,27636.0,152.0,215,0
66,1,26.0,1,1-2 Year,No,32181.0,120.0,174,0
23,1,41.0,1,< 1 Year,No,2630.0,152.0,284,0
25,1,37.0,1,< 1 Year,No,31769.0,152.0,121,0
22,1,35.0,1,< 1 Year,No,36173.0,152.0,142,0
51,1,3.0,0,1-2 Year,Yes,40118.0,26.0,86,0
42,1,28.0,0,1-2 Year,Yes,32123.0,124.0,174,0
22,1,33.0,0,< 1 Year,Yes,47896.0,152.0,204,1
34,1,46.0,1,1-2 Year,No,26336.0,152.0,80,0
32,1,41.0,0,< 1 Year,Yes,23489.0,124.0,255,1
22,1,2.0,1,< 1 Year,No,29302.0,152.0,55,0
28,1,28.0,1,< 1 Year,No,34690.0,152.0,23,0
23,1,22.0,1,< 1 Year,No,28675.0,152.0,27,0
23,1,9.0,0,< 1 Year,Yes,42894.0,152.0,283,1
50,1,28.0,0,1-2 Year,Yes,41650.0,61.0,104,1
23,1,50.0,1,< 1 Year,No,35428.0,151.0,196,0
26,1,32.0,0,< 1 Year,Yes,27704.0,152.0,246,0
36,1,29.0,0,1-2 Year,Yes,29824.0,163.0,119,0
22,1,30.0,0,< 1 Year,Yes,30483.0,152.0,286,0
39,1,28.0,0,1-2 Year,Yes,48334.0,25.0,193,1
20,1,8.0,1,< 1 Year,No,40897.0,160.0,106,0
36,1,9.0,1,1-2 Year,No,31688.0,152.0,66,0
61,1,28.0,0,1-2 Year,Yes,47381.0,124.0,252,1
21,1,6.0,1,< 1 Year,No,39415.0,152.0,112,0
40,1,28.0,0,1-2 Year,Yes,34041.0,124.0,50,1
25,1,28.0,1,< 1 Year,No,35601.0,152.0,116,0
31,1,30.0,0,< 1 Year,Yes,24745.0,154.0,232,0
24,1,33.0,0,< 1 Year,Yes,41121.0,152.0,89,1
30,1,38.0,0,< 1 Year,Yes,2630.0,124.0,120,1
42,1,28.0,0,1-2 Year,Yes,36900.0,26.0,171,0
23,1,6.0,1,< 1 Year,No,34685.0,152.0,19,0
45,1,3.0,1,1-2 Year,No,2630.0,152.0,69,0
24,1,28.0,1,< 1 Year,No,66320.0,152.0,94,0
24,1,15.0,0,< 1 Year,Yes,34253.0,152.0,118,0
22,1,50.0,1,< 1 Year,No,40315.0,152.0,264,0
29,1,28.0,1,< 1 Year,No,32809.0,152.0,153,0
26,1,9.0,1,< 1 Year,No,42684.0,152.0,206,0
41,1,28.0,0,1-2 Year,Yes,32197.0,124.0,124,0
23,1,2.0,0,< 1 Year,No,33862.0,152.0,189,0
42,1,28.0,0,1-2 Year,Yes,2630.0,122.0,58,0
62,1,50.0,1,1-2 Year,No,44443.0,124.0,252,0
51,1,29.0,1,1-2 Year,No,26860.0,124.0,165,0
54,1,28.0,0,1-2 Year,Yes,35768.0,124.0,53,0
77,1,46.0,0,1-2 Year,Yes,54680.0,124.0,189,1
26,1,15.0,1,< 1 Year,No,34256.0,152.0,279,0
38,1,8.0,0,1-2 Year,Yes,27316.0,124.0,112,0
74,1,8.0,1,1-2 Year,No,2630.0,26.0,123,0
22,1,8.0,1,< 1 Year,No,51106.0,152.0,13,0
39,1,28.0,0,1-2 Year,Yes,36417.0,124.0,73,1
21,1,12.0,0,< 1 Year,Yes,2630.0,152.0,299,0
24,1,3.0,1,< 1 Year,No,54331.0,152.0,224,0
48,1,28.0,0,1-2 Year,Yes,37551.0,26.0,94,0
37,1,11.0,0,1-2 Year,Yes,30898.0,124.0,260,0
43,1,3.0,0,1-2 Year,Yes,25433.0,152.0,292,0
23,1,16.0,1,< 1 Year,No,16822.0,151.0,226,0
21,1,28.0,1,< 1 Year,No,35854.0,160.0,14,0
26,1,8.0,0,< 1 Year,Yes,40819.0,124.0,55,0
32,1,15.0,1,< 1 Year,No,28964.0,152.0,133,0
33,1,28.0,0,1-2 Year,Yes,33386.0,122.0,263,0
24,1,29.0,1,< 1 Year,No,33656.0,152.0,152,0
25,1,36.0,0,< 1 Year,Yes,37897.0,152.0,273,0
39,1,36.0,0,1-2 Year,Yes,28237.0,154.0,41,0
23,1,21.0,1,< 1 Year,No,33179.0,152.0,298,0
27,1,33.0,1,< 1 Year,No,27588.0,152.0,109,0
24,1,8.0,1,< 1 Year,No,36323.0,152.0,248,0
48,1,16.0,0,1-2 Year,Yes,21755.0,26.0,155,0
24,1,9.0,1,< 1 Year,No,32865.0,152.0,152,0
44,1,28.0,0,1-2 Year,No,30039.0,61.0,265,0
24,1,25.0,0,< 1 Year,Yes,30556.0,152.0,231,0
26,1,14.0,1,< 1 Year,No,24042.0,152.0,240,0
22,1,33.0,1,< 1 Year,No,35745.0,152.0,254,0
35,1,0.0,1,1-2 Year,No,2630.0,7.0,182,0
24,1,30.0,1,< 1 Year,No,28910.0,152.0,20,0
51,1,28.0,0,1-2 Year,Yes,35589.0,26.0,92,1
59,1,8.0,0,1-2 Year,Yes,33505.0,26.0,109,1
21,1,13.0,0,< 1 Year,Yes,24620.0,152.0,222,0
32,1,8.0,0,< 1 Year,Yes,42710.0,124.0,18,1
56,1,48.0,1,1-2 Year,No,2630.0,26.0,76,0
37,1,28.0,1,1-2 Year,No,68630.0,124.0,54,0
36,1,8.0,0,1-2 Year,No,22910.0,124.0,282,0
41,1,36.0,0,1-2 Year,Yes,41089.0,163.0,92,0
23,1,8.0,1,< 1 Year,No,56163.0,152.0,263,0
53,1,28.0,0,> 2 Years,Yes,27997.0,122.0,113,0
24,1,34.0,1,< 1 Year,Yes,30795.0,152.0,198,0
30,1,46.0,0,< 1 Year,Yes,37515.0,152.0,210,0
68,1,28.0,0,1-2 Year,Yes,32278.0,124.0,63,1
43,1,30.0,0,1-2 Year,Yes,27164.0,124.0,52,0
72,1,50.0,0,> 2 Years,Yes,27641.0,124.0,37,0
24,1,28.0,1,< 1 Year,No,49362.0,152.0,64,0
55,1,28.0,0,1-2 Year,Yes,2630.0,26.0,113,0
22,1,8.0,1,< 1 Year,No,29478.0,152.0,124,0
40,1,31.0,0,1-2 Year,Yes,2630.0,124.0,75,0
24,1,6.0,1,< 1 Year,No,31588.0,152.0,10,0
55,1,48.0,1,1-2 Year,No,2630.0,26.0,138,0
54,1,30.0,0,1-2 Year,No,31952.0,26.0,41,0
43,1,8.0,1,1-2 Year,No,35098.0,124.0,32,0
58,1,47.0,1,1-2 Year,No,33759.0,16.0,232,0
27,1,2.0,0,< 1 Year,No,38582.0,152.0,52,0
23,1,8.0,1,< 1 Year,No,50508.0,160.0,143,0
21,1,2.0,0,< 1 Year,Yes,36295.0,160.0,137,0
40,1,7.0,0,1-2 Year,Yes,30272.0,124.0,292,0
57,1,28.0,0,1-2 Year,Yes,35378.0,124.0,12,0
30,1,37.0,1,< 1 Year,No,27702.0,152.0,75,0
23,1,7.0,1,< 1 Year,No,2630.0,160.0,177,0
24,1,6.0,1,< 1 Year,No,25346.0,152.0,84,0
27,1,15.0,1,< 1 Year,No,28622.0,152.0,50,0
76,1,14.0,1,1-2 Year,No,27118.0,124.0,184,0
40,1,8.0,0,1-2 Year,Yes,32526.0,124.0,131,0
54,1,8.0,1,1-2 Year,No,39172.0,26.0,229,0
52,1,28.0,0,> 2 Years,Yes,39238.0,124.0,120,0
53,1,28.0,0,1-2 Year,Yes,65581.0,26.0,51,0
36,1,9.0,0,1-2 Year,No,20755.0,26.0,159,0
39,1,47.0,0,> 2 Years,Yes,21060.0,156.0,217,0
61,1,3.0,0,1-2 Year,Yes,2630.0,26.0,216,0
45,1,11.0,0,1-2 Year,Yes,33080.0,124.0,223,1
20,1,25.0,0,< 1 Year,No,2630.0,160.0,289,0
51,1,31.0,1,1-2 Year,No,2630.0,124.0,80,0
61,1,38.0,0,1-2 Year,Yes,2630.0,156.0,60,1
39,1,28.0,0,1-2 Year,No,33970.0,124.0,69,0
24,1,29.0,0,< 1 Year,Yes,39236.0,152.0,158,0
53,1,28.0,0,1-2 Year,Yes,56918.0,124.0,58,0
41,1,31.0,1,1-2 Year,No,2630.0,124.0,212,0
34,1,33.0,0,1-2 Year,Yes,36615.0,124.0,270,0
21,1,36.0,1,< 1 Year,No,33378.0,152.0,216,0
49,1,28.0,0,1-2 Year,Yes,2630.0,26.0,272,1
23,1,36.0,1,< 1 Year,No,34440.0,152.0,116,0
51,1,36.0,0,> 2 Years,Yes,2630.0,122.0,288,0
67,1,22.0,0,1-2 Year,Yes,32897.0,30.0,59,0
45,1,28.0,0,1-2 Year,Yes,31584.0,26.0,239,0
23,1,8.0,0,< 1 Year,Yes,30136.0,152.0,164,1
69,1,28.0,0,> 2 Years,Yes,46427.0,124.0,129,0
24,1,8.0,1,< 1 Year,No,50837.0,152.0,74,0
22,1,46.0,1,< 1 Year,No,47688.0,152.0,244,0
22,1,8.0,1,< 1 Year,No,39600.0,160.0,83,0
24,1,28.0,0,< 1 Year,Yes,33326.0,152.0,66,0
53,1,48.0,0,1-2 Year,Yes,2630.0,124.0,219,0
22,1,37.0,0,< 1 Year,Yes,33048.0,152.0,292,0
40,1,28.0,1,1-2 Year,No,42227.0,125.0,154,0
22,1,17.0,1,< 1 Year,No,36426.0,160.0,190,0
68,1,28.0,1,1-2 Year,No,51928.0,26.0,102,0
54,1,28.0,0,1-2 Year,Yes,43852.0,26.0,143,0
25,1,18.0,1,< 1 Year,No,33361.0,152.0,24,0
25,1,6.0,0,< 1 Year,No,40069.0,152.0,292,0
48,1,8.0,0,> 2 Years,Yes,55920.0,124.0,135,1
29,1,28.0,1,< 1 Year,No,45983.0,26.0,113,0
39,1,28.0,0,1-2 Year,Yes,22071.0,122.0,104,0
27,1,11.0,1,< 1 Year,No,36093.0,152.0,299,0
57,1,28.0,0,1-2 Year,Yes,55133.0,124.0,74,0
29,1,47.0,1,< 1 Year,No,20673.0,152.0,272,0
31,1,28.0,0,1-2 Year,Yes,2630.0,156.0,71,0
46,1,7.0,1,1-2 Year,No,42620.0,59.0,64,0
40,1,8.0,0,1-2 Year,Yes,32921.0,26.0,271,1
48,1,20.0,0,1-2 Year,Yes,2630.0,124.0,252,0
43,1,28.0,0,1-2 Year,Yes,33374.0,124.0,57,1
53,1,28.0,0,> 2 Years,Yes,54803.0,26.0,138,1
23,1,6.0,1,< 1 Year,No,19251.0,152.0,58,0
39,1,27.0,0,1-2 Year,Yes,2630.0,124.0,256,0
76,1,41.0,1,1-2 Year,Yes,25920.0,124.0,216,0
21,1,11.0,1,< 1 Year,No,22693.0,152.0,291,0
47,1,20.0,0,1-2 Year,Yes,2630.0,26.0,105,0
21,1,8.0,1,< 1 Year,No,27853.0,160.0,237,0
27,1,36.0,1,< 1 Year,No,2630.0,160.0,138,0
22,1,46.0,1,< 1 Year,No,17827.0,152.0,11,0
29,1,4.0,1,1-2 Year,No,29363.0,124.0,164,0
21,1,36.0,1,< 1 Year,Yes,48249.0,160.0,217,0
52,1,11.0,0,1-2 Year,Yes,2630.0,157.0,18,1
48,1,28.0,1,1-2 Year,No,48943.0,26.0,119,0
33,1,11.0,0,1-2 Year,Yes,2630.0,156.0,27,0
22,1,15.0,1,< 1 Year,No,42121.0,152.0,212,0
59,1,29.0,0,1-2 Year,Yes,38831.0,124.0,156,0
63,1,28.0,1,1-2 Year,No,41766.0,122.0,129,0
73,1,28.0,1,1-2 Year,No,48781.0,124.0,285,0
28,1,28.0,1,< 1 Year,No,26143.0,151.0,178,0
43,1,28.0,1,1-2 Year,No,32921.0,26.0,37,0
69,1,17.0,0,1-2 Year,Yes,28376.0,26.0,294,0
38,1,28.0,0,1-2 Year,Yes,35477.0,55.0,56,1
48,1,28.0,0,1-2 Year,Yes,60796.0,52.0,188,1
54,1,45.0,1,1-2 Year,No,2630.0,160.0,203,0
34,1,37.0,0,1-2 Year,Yes,2630.0,160.0,10,0
24,1,8.0,1,< 1 Year,No,56140.0,152.0,166,0
37,1,15.0,1,1-2 Year,No,26973.0,14.0,226,0
34,1,15.0,0,1-2 Year,Yes,2630.0,122.0,180,0
37,1,18.0,0,1-2 Year,Yes,30141.0,124.0,282,1
22,1,28.0,0,< 1 Year,Yes,31932.0,26.0,57,0
23,1,3.0,0,< 1 Year,Yes,2630.0,152.0,155,0
40,1,4.0,1,1-2 Year,No,29494.0,154.0,142,0
46,1,8.0,1,1-2 Year,No,40727.0,122.0,47,0
22,1,50.0,1,< 1 Year,No,35617.0,152.0,96,0
55,1,20.0,1,1-2 Year,No,2630.0,124.0,253,0
27,1,50.0,1,< 1 Year,No,35550.0,152.0,219,0
22,1,30.0,1,< 1 Year,No,30448.0,152.0,172,0
38,1,41.0,1,1-2 Year,No,28249.0,26.0,42,0
23,1,8.0,1,< 1 Year,No,33578.0,152.0,292,0
22,1,15.0,0,< 1 Year,No,27120.0,152.0,70,0
30,1,28.0,0,1-2 Year,Yes,28996.0,157.0,238,0
24,1,28.0,0,< 1 Year,Yes,45813.0,152.0,136,0
52,1,33.0,1,1-2 Year,No,31683.0,26.0,192,0
28,1,28.0,0,< 1 Year,Yes,39160.0,26.0,283,0
28,1,18.0,0,< 1 Year,No,36055.0,152.0,77,0
44,1,30.0,0,1-2 Year,No,2630.0,152.0,141,0
36,1,34.0,0,1-2 Year,Yes,27451.0,163.0,125,1
62,1,28.0,1,1-2 Year,No,42436.0,11.0,237,0
55,1,28.0,0,1-2 Year,Yes,2630.0,26.0,256,0
25,1,30.0,1,< 1 Year,No,30092.0,152.0,13,0
47,1,46.0,1,1-2 Year,No,28734.0,124.0,185,0
28,1,41.0,1,< 1 Year,No,27552.0,152.0,15,0
25,1,14.0,0,< 1 Year,No,25853.0,152.0,71,0
23,1,15.0,1,< 1 Year,No,29855.0,152.0,110,0
53,1,28.0,0,1-2 Year,Yes,2630.0,160.0,140,0
23,1,34.0,0,< 1 Year,Yes,2630.0,26.0,163,0
24,1,35.0,1,< 1 Year,No,27471.0,152.0,140,0
25,1,28.0,0,< 1 Year,Yes,46811.0,152.0,285,1
21,1,36.0,0,< 1 Year,Yes,37977.0,152.0,41,0
58,1,36.0,0,1-2 Year,Yes,41831.0,124.0,96,0
21,1,3.0,0,< 1 Year,Yes,20346.0,152.0,54,0
40,1,33.0,0,1-2 Year,Yes,39155.0,124.0,10,1
21,1,8.0,1,< 1 Year,No,28113.0,160.0,191,0
44,1,20.0,0,1-2 Year,Yes,2630.0,157.0,266,0
61,1,28.0,0,> 2 Years,Yes,79728.0,26.0,68,0
21,1,28.0,0,< 1 Year,Yes,62808.0,154.0,71,0
41,1,41.0,0,1-2 Year,Yes,2630.0,136.0,207,0
25,1,29.0,1,< 1 Year,No,30413.0,152.0,39,0
71,1,28.0,1,1-2 Year,No,35519.0,26.0,118,0
25,1,29.0,1,< 1 Year,No,29216.0,152.0,175,0
28,1,8.0,1,< 1 Year,No,65201.0,152.0,63,0
57,1,28.0,0,1-2 Year,Yes,2630.0,158.0,16,0
49,1,28.0,1,1-2 Year,No,27489.0,124.0,97,0
37,1,28.0,0,1-2 Year,Yes,42417.0,26.0,146,1
20,1,35.0,1,< 1 Year,No,69416.0,160.0,195,0
39,1,8.0,0,1-2 Year,Yes,42156.0,26.0,142,1
26,1,14.0,0,1-2 Year,Yes,39577.0,26.0,146,1
26,1,14.0,1,< 1 Year,No,25884.0,152.0,97,0
35,1,28.0,1,1-2 Year,No,2630.0,124.0,163,0
25,1,15.0,1,< 1 Year,No,34616.0,152.0,248,0
24,1,9.0,0,< 1 Year,Yes,32037.0,151.0,100,0
25,1,13.0,1,< 1 Year,No,22467.0,152.0,38,0
22,1,6.0,0,< 1 Year,Yes,22261.0,152.0,95,0
37,1,10.0,0,1-2 Year,Yes,2630.0,154.0,183,1
40,1,41.0,0,1-2 Year,No,2630.0,157.0,55,0
32,1,11.0,1,< 1 Year,No,30714.0,152.0,32,0
26,1,50.0,0,< 1 Year,No,2630.0,152.0,265,0
25,1,14.0,1,< 1 Year,No,23904.0,152.0,289,0
35,1,50.0,0,1-2 Year,Yes,45457.0,26.0,177,1
35,1,28.0,0,1-2 Year,Yes,66828.0,122.0,286,0
76,1,28.0,0,1-2 Year,Yes,26382.0,124.0,40,1
25,1,15.0,0,< 1 Year,No,28201.0,152.0,234,0
43,1,28.0,1,1-2 Year,No,2630.0,52.0,279,0
36,1,28.0,0,1-2 Year,Yes,24968.0,156.0,218,1
52,1,28.0,0,1-2 Year,Yes,36086.0,26.0,144,1
21,1,27.0,1,< 1 Year,No,26369.0,152.0,44,0
24,1,36.0,1,< 1 Year,No,49319.0,152.0,70,0
22,1,28.0,0,< 1 Year,Yes,57600.0,152.0,102,0
57,1,29.0,1,1-2 Year,No,2630.0,26.0,115,0
31,1,28.0,0,< 1 Year,Yes,29775.0,124.0,68,1
58,1,15.0,1,1-2 Year,No,32915.0,26.0,15,0
23,1,37.0,1,< 1 Year,No,26232.0,160.0,156,0
26,1,37.0,0,< 1 Year,Yes,31226.0,152.0,215,0
75,1,28.0,0,1-2 Year,Yes,34779.0,26.0,238,0
46,1,46.0,0,1-2 Year,Yes,2630.0,26.0,114,0
42,1,11.0,0,1-2 Year,Yes,31982.0,120.0,26,1
42,1,28.0,1,1-2 Year,No,33955.0,152.0,61,0
23,1,28.0,1,< 1 Year,No,43465.0,152.0,75,0
28,1,28.0,1,< 1 Year,No,49278.0,152.0,297,0
24,1,46.0,1,< 1 Year,No,44209.0,160.0,157,0
68,1,37.0,0,1-2 Year,Yes,2630.0,157.0,120,0
53,1,26.0,0,1-2 Year,Yes,29736.0,154.0,154,0
39,1,36.0,1,1-2 Year,No,2630.0,151.0,263,0
60,1,8.0,0,1-2 Year,Yes,38187.0,78.0,122,1
61,1,10.0,0,1-2 Year,Yes,2630.0,26.0,16,0
69,1,30.0,1,1-2 Year,Yes,29619.0,26.0,45,0
20,1,8.0,1,< 1 Year,No,43610.0,160.0,33,0
21,1,33.0,0,< 1 Year,Yes,24911.0,152.0,225,0
25,1,46.0,1,< 1 Year,No,26610.0,152.0,297,0
68,1,28.0,0,1-2 Year,Yes,51612.0,152.0,272,0
54,1,41.0,1,1-2 Year,No,21066.0,152.0,58,0
34,1,27.0,0,1-2 Year,Yes,2630.0,152.0,273,0
24,1,41.0,0,< 1 Year,Yes,35637.0,152.0,276,0
20,1,27.0,1,< 1 Year,No,2630.0,160.0,69,0
72,1,28.0,0,> 2 Years,Yes,24792.0,122.0,160,0
